username,author_id,conversation_id,created_at,hashtags,mentions,like_count,quote_count,reply_count,retweet_count,retweet,reply,quote,reply_settings,source,text
ZemmourEric,1183418538285027329,1444295414400884750,2021-10-02T13:37:15.000Z,"['CroiséeDesChemins', 'Lille']",,1920,13,46,418,False,False,False,everyone,Twitter for Android,"Visiter votre région, c’est voir défiler sous nos yeux un panorama complet de l’Histoire de France. C’est un cas unique : qui peut se targuer d’un tel privilège ?
#CroiséeDesChemins #Lille https://t.co/q7MDcq7AVM"
ZemmourEric,1183418538285027329,1444290454133125126,2021-10-02T13:17:32.000Z,"['CroiséeDesChemins', 'Lille']",,3852,64,129,761,False,False,False,everyone,Twitter for Android,"Quel plaisir d’être de retour à Lille !
#CroiséeDesChemins #Lille https://t.co/xmx3XEFAdk"
ZemmourEric,1183418538285027329,1444287019212066818,2021-10-02T13:03:53.000Z,"['hautsdefrance', 'Zemmour']",['AssoApollon'],0,0,0,585,True,False,False,everyone,Twitter for iPhone,"RT @AssoApollon: Dans les #hautsdefrance, #Zemmour prononce un discours historique à la gloire des chtis : peuple ingénieux, laborieux, ind…"
ZemmourEric,1183418538285027329,1444274337855512577,2021-10-02T12:13:30.000Z,"['CroiséeDesChemins', 'Lille']",,4669,126,291,1009,False,False,False,everyone,Twitter for Android,"Les Lillois sont là !
#CroiséeDesChemins #Lille https://t.co/1Tvk23lBCz"
ZemmourEric,1183418538285027329,1444249634889732097,2021-10-02T10:35:20.000Z,,,1687,49,158,438,False,False,False,everyone,Twitter for Android,"Je vous invite à me suivre maintenant sur mon compte Pinterest :
https://t.co/QsyLXRynuQ

À très bientôt !
E.Z."
UPR_Asselineau,200659061,1444409550879215625,2021-10-02T21:34:47.000Z,,,78,0,3,22,False,False,False,everyone,Twitter for Android,"🚨Où est donc le bonheur que devaient nous procurer
▪️🇪🇺(1992)
▪️mondialisation (OMC 1994)
▪️€ (1999) ?
La société ultra-libérale,dépourvue de repères, fondée sur le culte de l'Argent-Roi, de la course au profit maximal et de l'individualisme foncier, détruit les plus fragiles."
UPR_Asselineau,200659061,1444409550879215625,2021-10-02T21:26:12.000Z,,,62,1,8,27,False,False,False,everyone,Twitter for Android,"Symptôme d'une société de + en + malade, la consommation de cocaïne en🇫🇷 est en croissance quasi-exponentielle.

⚠️ Le % d'utilisateurs chez les 18-64ans est passé de 0,2% en 1994 à 1 6% en 2017, soit une multiplication par 8 en 23 ans. https://t.co/fGck4AqPZT"
UPR_Asselineau,200659061,1444409550879215625,2021-10-02T21:10:47.000Z,,['Anne_Hidalgo'],122,0,6,60,False,False,True,everyone,Twitter for Android,"💥LA SITUATION SE TEND DE JOUR EN JOUR DANS LE NORD-EST DE PARIS
Exaspérés par la délinquance, les habitants sont ultra-mobilisés contre le trafic de ""crack"" et le laxisme d'@Anne_Hidalgo qui compte ouvrir des ""salles de shoot"".
À l'image de la🇫🇷,Paris s'enfonce dans le désastre. https://t.co/fqYu1Hm4aD"
UPR_Asselineau,200659061,1444318919116918786,2021-10-02T15:40:42.000Z,['Frexit'],,152,0,4,48,False,False,False,everyone,Twitter for Android,"⚠️CONCLUSION: IL FAUT RESPECTER LES FRANÇAIS
L'🇪🇺est comme une partie de cartes.
Soit on y joue et on respecte les règles =&gt;🇪🇺
Soit on refuse les règles et on sort du jeu =&gt;🇫🇷
🚨Ce n'est pas respecter les électeurs que de leur faire croire à une voie médiane entre🇪🇺 et le #Frexit"
UPR_Asselineau,200659061,1444318919116918786,2021-10-02T15:33:10.000Z,['Frexit'],,131,0,1,31,False,False,False,everyone,Twitter for Android,"Le gouvernement🇫🇷 serait alors placé devant un affreux dilemme
▪️soit faire amende honorable et subir l'humiliation d'obéir de nouveau à ses engagements juridiques🇪🇺
▪️soit faire le #Frexit dans la pire des conditions, en s'étant mis dans son tort et en ayant l'opposition des 26!"
UPR_Asselineau,200659061,1444318919116918786,2021-10-02T15:29:06.000Z,,,77,0,3,26,False,False,False,everyone,Twitter for Android,"Le «petit» problème de ces déclarations franco-françaises, c'est qu'elles sont totalement contraires au droit🇪🇺.
Elles ne seraient acceptées
NI par la Commission🇪🇺
NI par la CJUE
NI par nos 26 partenaires
La🇫🇷 serait donc
-condamnée à se plier au droit🇪🇺
-ou sommée de quitter🇪🇺"
UPR_Asselineau,200659061,1444318919116918786,2021-10-02T15:23:26.000Z,['Frexit'],"['MLP_officiel', 'MichelBarnier', 'JLMelenchon', 'montebourg']",78,0,4,26,False,False,False,everyone,Twitter for Android,"⚠️Plusieurs candidats à la présidentielle 2022 affirment qu'ils sont :

▪️hostiles au #Frexit

▪️mais pour la primauté de la Constitution🇫🇷sur les traités🇪🇺 @MLP_officiel
@MichelBarnier

▪️ou pour ne pas appliquer les directives🇪🇺contraires à nos intérêts @JLMelenchon
@montebourg"
UPR_Asselineau,200659061,1444318919116918786,2021-10-02T15:10:39.000Z,"['Polexit', 'Frexit']","['lemondefr', 'MichelBarnier']",391,3,16,169,False,False,False,everyone,Twitter for Android,"🇵🇱 POLEXIT ?
@lemondefr affirme avec raison que si le Tribunal constitutionnel🇵🇱 affirme la primauté du droit🇵🇱 sur le droit🇪🇺,la conséquence en sera un «#Polexit législatif».
⚠️@MichelBarnier,qui propose la même chose pour la🇫🇷,œuvre donc pour le #Frexit
https://t.co/LEUwR7aDc8"
